epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,117.159,1.04515,3.24614,0.35601,1.15122,1.04951,0.01083,0.92857,0.29992,0.14938,0.00333,0.28571,0.17414,0.05709,1.82214,8.36799,0.65598,3.01217,1.97612,0.000468992,0.000468992,0.000468992
66,119.313,0.83256,3.58487,0.32289,1.20984,0.97111,0.01083,0.92857,0.29044,0.13165,0.00333,0.28571,0.16666,0.04594,1.86543,8.56843,0.6266,3.03582,2.02397,0.00046345,0.00046345,0.00046345
67,121.205,0.82437,3.27968,0.268,1.04487,0.9548,0.01083,0.92857,0.29044,0.13165,0.00333,0.28571,0.16666,0.04594,1.86543,8.56843,0.6266,3.03582,2.02397,0.000457512,0.000457512,0.000457512
68,122.997,0.65985,2.60563,0.3326,1.13187,0.93078,0.01083,0.92857,0.29044,0.13165,0.00333,0.28571,0.16666,0.04594,1.86543,8.56843,0.6266,3.03582,2.02397,0.000451178,0.000451178,0.000451178
69,124.943,0.94324,2.94309,0.29082,1.23107,1.1696,0.01083,0.92857,0.28237,0.1324,0.0025,0.21429,0.12366,0.04451,1.96516,8.64993,0.61826,3.07604,2.05509,0.000444448,0.000444448,0.000444448
70,126.673,0.96556,3.73686,0.36195,1.48899,1.04054,0.01083,0.92857,0.28237,0.1324,0.0025,0.21429,0.12366,0.04451,1.96516,8.64993,0.61826,3.07604,2.05509,0.000437322,0.000437322,0.000437322
71,128.376,0.9404,3.92204,0.36171,1.25842,1.03667,0.01083,0.92857,0.28237,0.1324,0.0025,0.21429,0.12366,0.04451,1.96516,8.64993,0.61826,3.07604,2.05509,0.0004298,0.0004298,0.0004298
72,130.093,0.87129,2.96622,0.32776,1.17618,1.00525,0.01329,0.85714,0.2767,0.14812,0.00332,0.21429,0.12901,0.04091,1.93733,8.70844,0.60315,3.07501,2.09377,0.000421882,0.000421882,0.000421882
73,131.843,0.82197,3.84943,0.23521,1.34481,1.09169,0.01329,0.85714,0.2767,0.14812,0.00332,0.21429,0.12901,0.04091,1.93733,8.70844,0.60315,3.07501,2.09377,0.000413568,0.000413568,0.000413568
74,133.494,0.76116,2.25926,0.31422,1.11875,1.00597,0.01329,0.85714,0.2767,0.14812,0.00332,0.21429,0.12901,0.04091,1.93733,8.70844,0.60315,3.07501,2.09377,0.000404858,0.000404858,0.000404858
75,135.22,0.91779,2.23335,0.18673,1.39339,1.26822,0.19325,0.42857,0.2728,0.16071,0.09663,0.21429,0.15648,0.06275,1.95062,8.61899,0.57004,3.01596,2.10219,0.000395752,0.000395752,0.000395752
76,136.94,0.73218,2.2779,0.29167,1.07942,1.0198,0.19325,0.42857,0.2728,0.16071,0.09663,0.21429,0.15648,0.06275,1.95062,8.61899,0.57004,3.01596,2.10219,0.00038625,0.00038625,0.00038625
77,138.701,0.66724,2.40768,0.34302,1.19791,0.99621,0.19325,0.42857,0.2728,0.16071,0.09663,0.21429,0.15648,0.06275,1.95062,8.61899,0.57004,3.01596,2.10219,0.000376352,0.000376352,0.000376352
78,140.399,0.84111,3.57227,0.29994,1.05831,1.03515,0.76456,0.14286,0.34139,0.20201,0.76456,0.14286,0.18098,0.06868,1.97241,8.325,0.55343,2.98834,2.02671,0.000366058,0.000366058,0.000366058
79,142.021,1.15578,3.35066,0.27631,1.46324,1.21803,0.76456,0.14286,0.34139,0.20201,0.76456,0.14286,0.18098,0.06868,1.97241,8.325,0.55343,2.98834,2.02671,0.000355368,0.000355368,0.000355368
80,143.659,0.60795,1.91664,0.2628,1.08355,0.92039,0.76456,0.14286,0.34139,0.20201,0.76456,0.14286,0.18098,0.06868,1.97241,8.325,0.55343,2.98834,2.02671,0.000344282,0.000344282,0.000344282
81,145.384,0.67807,2.14713,0.35347,1.16175,1.06275,0.84596,0.14286,0.37923,0.19179,0.8689,0.14286,0.18798,0.09074,2.00528,8.28578,0.55307,2.92912,1.97974,0.0003328,0.0003328,0.0003328
